순서,단계명,설명,유형,CCP여부,CCP번호,lane,merge_from,merge_label,merge_from_2,merge_label_2,merge_from_3,merge_label_3,CCP유형
1,원료 입고,생두 입고 및 수량 확인,공정,N,,공정,,,,,,,
2,원료 보관,온·습도 관리 창고 (15℃ 이하),공정,N,,공정,,,,,,,
3,선 별,이물·불량두 제거,공정,N,,공정,,,,,,,
4,계량/배합,블렌딩 배합비 계량,공정,N,,공정,,,,,,,
5,가열(로스팅),로스터기 가열 처리 (열처리 CCP),공정,Y,CCP-1,공정,,,,,,,B
6,방 냉,로스팅 후 신속 냉각,공정,N,,공정,,,,,,,
8,내포장,내포장재(PE) 충전 및 밀봉,공정,N,,공정,기타,질소,부자재,포장지(PE),,,
9,금속검출,이물 검출기 통과 (이물 CCP),공정,Y,CCP-6,공정,,,,,,,P2
10,외포장,외포장재(박스) 포장,공정,N,,공정,부자재,외박스,,,,,
11,보 관,완제품 창고 온·습도 관리,공정,N,,공정,,,,,,,
12,출 고,주문 확인 및 배송 출고,공정,N,,공정,,,,,,,
1,질소,식품용 질소 가스 입고·검수,보관,N,,기타,,,,,,,
1,포장지,"리드지(PE),캡슐, 외박스",보관,N,,부자재,,,,,,,
7,분쇄(쇳가루 검출),자석봉 쇳가루 검출,공정,Y,CCP-4,공정,,,,,,,P1
