일시,작업자,대상,작업내용,상세
2026-03-11 23:03:21,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:21,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:22,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:22,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:23,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:23,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:24,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:24,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:25,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:25,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:25,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:26,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:27,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:28,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:29,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
2026-03-11 23:03:29,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 3건 저장
2026-03-11 23:03:29,시스템/관리자,공정: main,CCP 결정도 업데이트,데이터 2건 저장
