유형,위해요소,심각성
B,엔테로 사카자키,2
B,클로스트리디움 보툴리눔,3
B,총대장균군,2
B,진균,2
B,바실러스 세레우스,1
B,대장균,2
B,대장균군,2
B,분원성대장균군,2
B,장출혈성대장균,3
B,클로스트리디움퍼프린젠스,1
B,살모넬라 spp.,2
B,리스테리아모노사이토제네스,3
B,장염비브리오,2
B,황색포도상구균,1
B,여시니아 엔테로콜리티카,2
C,중금속,2
C,비소,2
C,납,2
C,주석,2
C,PCBs,2
C,카드뮴,2
C,인공감미료,1
C,사카린나트륨,1
C,이산화황,1
C,잔류농약,2
C,Chlorpyryfos,2
C,Fenitrothion,2
C,Malathion,2
C,보존료,1
C,파튤린,2
C,푸모니신,2
C,아플라톡신,2
C,총아플라톡신,2
C,그레이아노톡신Ⅲ,3
C,오크라톡신A,2
C,데옥시니발레놀,2
C,제랄레논,2
C,메타올,2
C,불소화물,1
C,회분,1
C,산가,2
C,마그네슘,1
C,바륨,1
C,구리,2
C,수은,2
C,항생물질,2
C,타르색소,1
C,메탄올,2
C,4-메틸 이미다졸,1
C,형광증백제,1
C,염화물,1
C,황산염,1
C,합성산화방지제,1
C,산화방지제,1
C,크레졸인산에스테르,1
C,1-헥센,1
C,1-옥텐,1
C,6가크롬,2
C,안티몬,1
C,게르마늄,1
C,테레프타란,1
C,이소프탈산,1
C,증발잔류물,1
C,총용출량,1
C,과망간산칼륨소비량,2
C,아황산염,1
C,합성보존료,1
C,잔류용매,1
C,멜라민,3
C,무기비소,2
C,니켈,2
C,염소이온,1
C,다이옥신,3
C,벤조피렌,2
C,페로시안화이온,1
C,황산이온,1
C,아크릴아마이드,2
P,금속,3
P,금속(쇳가루),3
P,"돌,나무조각,플라스틱",2
P,나무조각,2
P,플라스틱,2
P,돌,2
P,"돌,나무조각",2
P,사분,2
P,"머리카락,비닐, 실, 곤충",1
P,머리카락,1
P,비닐,1
P,실,1
P,곤충,1
P,"머리카락,비닐,실",1
P,종이,1
P,"머리카락,비닐,종이,실",1
